unit_slug,unit_name,unit_level,faculty,site_url,scope_pattern,has_cs_section,cs_entry_url,routes_to,notes
fbe-mgmt-mktg,Department of Management and Marketing,department,FBE,https://fbe.unimelb.edu.au/managementmarketing,fbe.unimelb.edu.au/managementmarketing,no,,https://students.unimelb.edu.au/,Pass-through to central hub
mbs,Melbourne Business School,school,FBE,https://mbs.unimelb.edu.au/,mbs.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Separate entity; routes to hub
melbourne-institute,Melbourne Institute: Applied Economic and Social Research,institute,FBE,https://melbourneinstitute.unimelb.edu.au/,melbourneinstitute.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Research institute; routes to hub
education,Faculty of Education,faculty,Education,https://education.unimelb.edu.au/,education.unimelb.edu.au,yes,https://education.unimelb.edu.au/study/current-students,,"URL pattern: /study/current-students (/students and /current-students are 404)"
melbourne-cshe,Centre for the Study of Higher Education,centre,Education,https://melbourne-cshe.unimelb.edu.au/,melbourne-cshe.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Research centre; routes to hub
feit,Faculty of Engineering and Information Technology,faculty,FEIT,https://eng.unimelb.edu.au/,eng.unimelb.edu.au,yes,https://eng.unimelb.edu.au/students,,"URL pattern: /students (labelled 'FEIT Current Students')"
cis,School of Computing and Information Systems,school,FEIT,https://cis.unimelb.edu.au/,cis.unimelb.edu.au,no,,https://eng.unimelb.edu.au/students,Pass-through to faculty CS (FEIT)
feit-chem-biomed,School of Chemical and Biomedical Engineering,school,FEIT,https://eng.unimelb.edu.au/about/departments/school-of-chemical-and-biomedical-engineering,eng.unimelb.edu.au/about/departments/school-of-chemical-and-biomedical-engineering,no,,https://eng.unimelb.edu.au/students,Pass-through to faculty CS (FEIT)
feit-emi,"School of Electrical, Mechanical and Infrastructure Engineering",school,FEIT,https://eng.unimelb.edu.au/about/departments/school-of-electrical-mechanical-and-infrastructure-engineering,eng.unimelb.edu.au/about/departments/school-of-electrical-mechanical-and-infrastructure-engineering,no,,https://eng.unimelb.edu.au/students,Pass-through to faculty CS (FEIT)
ffam,Faculty of Fine Arts and Music,faculty,FFAM,https://finearts-music.unimelb.edu.au/,finearts-music.unimelb.edu.au,yes,https://finearts-music.unimelb.edu.au/current-students,,"URL pattern: /current-students"
mcm,Melbourne Conservatorium of Music,school,FFAM,https://finearts-music.unimelb.edu.au/about-us/mcm,finearts-music.unimelb.edu.au/about-us/mcm,no,,https://finearts-music.unimelb.edu.au/current-students,Pass-through to faculty CS
vca,Victorian College of the Arts,school,FFAM,https://finearts-music.unimelb.edu.au/about-us/vca,finearts-music.unimelb.edu.au/about-us/vca,no,,https://finearts-music.unimelb.edu.au/current-students,"Large sub-site; routes to faculty CS (confirm any VCA-specific student pages during crawl)"
wilin,Wilin Centre for Indigenous Arts and Cultural Development,centre,FFAM,https://finearts-music.unimelb.edu.au/about-us/wilin,finearts-music.unimelb.edu.au/about-us/wilin,partial,https://finearts-music.unimelb.edu.au/about-us/wilin/supporting-indigenous-students,https://finearts-music.unimelb.edu.au/current-students,Routes to faculty CS + has own Indigenous student-support page
law,Melbourne Law School,faculty,Law,https://law.unimelb.edu.au/,law.unimelb.edu.au,yes,https://law.unimelb.edu.au/students,,"URL pattern: /students ('MLS Students'); sub-pages /students/jd /students/masters /students/graduate-research"
mdhs,"Faculty of Medicine, Dentistry and Health Sciences",faculty,MDHS,https://mdhs.unimelb.edu.au/,mdhs.unimelb.edu.au,yes,https://mdhs.unimelb.edu.au/study/current-students,,"URL pattern: /study/current-students (/students and /current-students are 404)"
dental,Melbourne Dental School,school,MDHS,https://dental.unimelb.edu.au/,dental.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Pass-through to central hub (NOT the MDHS faculty CS)
medicine,Melbourne Medical School,school,MDHS,https://medicine.unimelb.edu.au/,medicine.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Pass-through to central hub (NOT the MDHS faculty CS)
healthsciences,Melbourne School of Health Sciences,school,MDHS,https://healthsciences.unimelb.edu.au/,healthsciences.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Pass-through to central hub
psychologicalsciences,Melbourne School of Psychological Sciences,school,MDHS,https://psychologicalsciences.unimelb.edu.au/,psychologicalsciences.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Pass-through to central hub
biomedicalsciences,School of Biomedical Sciences,school,MDHS,https://biomedicalsciences.unimelb.edu.au/,biomedicalsciences.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Pass-through to central hub
mspgh,School of Population and Global Health,school,MDHS,https://mspgh.unimelb.edu.au/,mspgh.unimelb.edu.au,no,,https://students.unimelb.edu.au/,Pass-through to central hub
science,Faculty of Science,faculty,Science,https://science.unimelb.edu.au/,science.unimelb.edu.au,yes,https://science.unimelb.edu.au/students,,"URL pattern: /students (single-page hub + per-degree course guides)"
safes,"School of Agriculture, Food and Ecosystem Sciences",school,Science,https://safes.unimelb.edu.au/,safes.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
biosciences,School of BioSciences,school,Science,https://biosciences.unimelb.edu.au/,biosciences.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
chemistry,School of Chemistry,school,Science,https://chemistry.unimelb.edu.au/,chemistry.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
sgeas,"School of Geography, Earth and Atmospheric Sciences",school,Science,https://sgeas.unimelb.edu.au/,sgeas.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
ms,School of Mathematics and Statistics,school,Science,https://ms.unimelb.edu.au/,ms.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
physics,School of Physics,school,Science,https://physics.unimelb.edu.au/,physics.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
mvs,Melbourne Veterinary School,school,Science,https://mvs.unimelb.edu.au/,mvs.unimelb.edu.au,no,,https://science.unimelb.edu.au/students,Pass-through to faculty CS (Science)
